Year,Cultura+Arável,Floresta,Urbano/Artificial,Outros,GDP,Exergy,Pastagem
1961,33.2,32,2.4,23.2,33,5111.5,9.2
1962,33.3,32.3,2.4,22.9,37,5487.1,9.2
1963,33.3,32.5,2.4,22.5,38,5761.7,9.2
1964,33.4,32.8,2.5,22.2,40,6130.1,9.2
1965,33.5,33,2.5,21.8,44,7134.3,9.2
1966,33.5,33.1,2.5,21.7,46,7791.8,9.2
1967,33.6,33.2,2.6,21.5,48,8924.9,9.2
1968,33.6,33.3,2.6,21.3,51,9169.8,9.2
1969,33.7,33.3,2.6,21.1,52,10085.6,9.2
1970,33.8,33.4,2.7,20.9,56,11958.6,9.2
1971,33.8,33.5,2.7,20.7,62,13556.6,9.2
1972,33.9,33.6,2.7,20.5,69,14983.3,9.2
1973,34,33.7,2.8,20.4,72,16265.6,9.2
1974,34,33.8,2.8,20.2,74,14231.4,9.2
1975,34.1,33.9,2.8,20,70,14483.2,9.2
1976,34.1,34,2.9,19.8,72,12106.8,9.2
1977,34.2,34,2.9,19.7,76,12263.1,9.2
1978,34.2,34.1,2.9,19.5,81,14389,9.2
1979,34.3,34.2,3,19.3,87,14498.2,9.2
1980,34.3,34.3,3,19.2,91,14228.9,9.2
1981,34.4,34.4,3,19,93,14487.1,9.2
1982,34.4,34.6,3.1,18.8,95,15319.7,9.2
1983,34.4,34.7,3.1,18.6,96,17194.9,9.2
1984,34.5,34.9,3.1,18.3,95,17044.9,9.2
1985,34.5,35,3.2,18.1,96,17905.4,9.2
1986,33.8,35.2,3.2,18.6,100,17948,9.2
1987,34.1,35.4,3.2,18,107,18040.2,9.2
1988,33.4,35.6,3.3,18.5,113,18812.5,9.2
1989,34.6,35.8,3.3,17.1,120,19444.4,9.2
1990,34.3,36.1,3.3,17,130,20319.1,9.3
1991,34,36.3,3.4,16.9,134,20460,9.4
1992,33.7,36.5,3.4,16.8,138,20460,9.6
1993,33.5,36.7,3.4,16.7,137,20337,9.7
1994,32.6,36.9,3.5,16.6,139,20778.1,10.5
1995,31.7,37.1,3.5,16.5,143,21213.2,11.2
1996,31.3,37,3.6,17.1,148,21139.3,11
1997,30.9,36.9,3.7,17.6,154,23551.9,10.8
1998,29,36.8,3.8,17.4,162,26547.2,13
1999,27,36.7,3.9,17.2,168,28602.3,15.2
2000,26.4,36.6,4,17.6,174,31515.8,15.5
2001,25.7,36.5,4.1,17.9,178,22252.5,15.8
2002,25,36.4,4.2,18.3,179,20796.6,16
2003,24.4,36.3,4.3,18.7,177,19976.7,16.3
2004,22.6,36.2,4.4,18.9,181,23176.9,17.8
2005,20.9,36.1,4.5,19.2,182,22593.4,19.3
2006,19.7,36,4.6,20.4,185,17356.9,19.4
2007,18.5,35.9,4.6,21.6,190,17248.9,19.5
2008,19.5,35.7,4.7,20.5,190,15632.7,19.5
2009,20.6,35.6,4.7,19.6,184,15319,19.5
2010,20.4,35.5,4.8,19.7,187,14997.7,19.6
2011,20.3,35.6,4.8,19.6,184,13837.3,19.7
2012,20.1,35.8,4.9,19.5,177,14009.2,19.8
2013,19.9,35.9,4.9,19.4,175,14302.3,19.9
2014,19.7,36.1,5,19.2,177,14707.1,20.1
2015,19.5,36.2,5,19,180,15009.3,20.3
2016,19.3,36.3,5,18.8,183,14835.1,20.5
